日期,開始時間,節目名稱,節目資訊
5月19日 星期五,9:05,我的刁蠻女明星,王樂妍、 潘柏希
5月19日 星期五,11:15,新少林五祖,李連杰、 邱淑貞
5月19日 星期五,13:15,賭俠2002,張家輝、 馮德倫
5月19日 星期五,15:20,唐伯虎點秋香,周星馳、 鞏俐
5月19日 星期五,17:00,楚漢傳奇19(重播),陳道明、 何潤東
5月19日 星期五,17:30,鑽石王牌51,動畫
5月19日 星期五,18:00,楚漢傳奇20,陳道明、 何潤東
5月19日 星期五,19:00,鹿鼎記41,韓棟、 張檬
5月19日 星期五,20:00,鹿鼎記42,韓棟、 張檬
5月19日 星期五,21:00,名偵探柯南:世紀末的魔術師,動畫
5月19日 星期五,23:10,日韓電影大賞:文豪野犬DEAD APPLE,動畫
,,,
5月20日 星期六,1:05,不義之戰,譚耀文、 梁琤
5月20日 星期六,3:05,第一爐香,彭于晏、 馬思純
5月20日 星期六,5:55,悟空傳,彭于晏、 余文樂
5月20日 星期六,8:25,霍元甲之精武天下,杜宇航、 莊翰
5月20日 星期六,10:00,十面埋伏,劉德華、 章子怡
5月20日 星期六,12:30,名偵探柯南:世紀末的魔術師,動畫
5月20日 星期六,14:40,天降神機,宋柏緯、歐陽妮妮
5月20日 星期六,16:35,西虹市首富,沈騰、 宋芸樺
5月20日 星期六,19:00,英雄,李連杰、 梁朝偉
5月20日 星期六,21:00,十月初五的月光,張智霖、 佘詩曼
5月20日 星期六,23:10,角頭-浪流連,鄭人碩、 謝欣穎
,,,
5月21日 星期日,1:40,英雄本色2018,王凱、 王大陸
5月21日 星期日,4:05,海苔億萬富翁,帕查拉奇拉錫瓦特、瓦凌蕾康蘇文
5月21日 星期日,6:50,唐人街探案,王寶強、 劉昊然
5月21日 星期日,9:40,霍元甲,李連杰、 孫儷
5月21日 星期日,11:55,魯邦三世VS名偵探柯南 劇場版,慄田貫一、小林清志
5月21日 星期日,14:15,瘋狂的外星人,黃渤、 沈騰
5月21日 星期日,16:40,天氣之子,動畫
5月21日 星期日,19:00,恐怖攻擊直播,河正宇、 金素真
5月21日 星期日,21:00,週日電癮院:名偵探柯南:總局刑警戀愛物語～結婚前夜～,動畫
5月21日 星期日,23:05,空氣殺人,金相慶、 李先彬
